z_axis_A,pore_radius_A,center_x,center_y,drift_from_axis_A
-22.64909470701444,3.6967691187745304,-2.1158446495254406,0.3010742170108158,2.137158058325502
-22.14909470701444,3.713634658070114,-1.815068751052736,0.0035530090537211657,1.815072301365181
-21.64909470701444,3.805952162324777,-1.5609374431668808,-0.3296875019044739,1.5953744968949073
-21.14909470701444,3.6354643592385356,-1.9889402160017184,-0.7734958931782041,2.134052339360785
-20.64909470701444,3.4240850125472275,-2.2191970017194524,-0.9591857854748123,2.417617225464178
-20.14909470701444,3.2309847528020708,-2.420311730000278,-0.9412010519971595,2.5968767134570583
-19.64909470701444,3.076770794307382,-2.558593656842625,-0.9531250055058134,2.7303569677989885
-19.14909470701444,2.9483149544019245,-2.6857420897132007,-0.9898437557179223,2.862341986417702
-18.64909470701444,2.72982285364491,-2.6521703135917853,-1.0702685608700038,2.8599794711976734
-18.14909470701444,2.493707585454316,-2.5671637554075444,-1.0246673643175215,2.7641044394395653
-17.64909470701444,2.3119939234280995,-2.477715974240473,-0.9357665961569701,2.648534680528527
-17.14909470701444,2.19591075923035,-2.3883971298362865,-0.8947021432691824,2.5504770423386103
-16.64909470701444,2.137443857145227,-2.2988322374674266,-0.844375147710291,2.4489996734174824
-16.14909470701444,2.1426955754797827,-2.207835240741972,-0.8056033836647982,2.3502199050715378
-15.649094707014441,2.209848651410371,-2.109765548184277,-0.7578124956224368,2.2417383370054496
-15.149094707014441,2.1312016653231316,-1.9765797789455908,-0.97086732948373,2.2021469760882386
-14.649094707014441,2.001141887161233,-1.797213965783627,-1.448368462346115,2.3081918327418998
-14.149094707014441,1.8157533912114083,-1.3654613919723264,-1.5811827188053909,2.0891682169262373
-13.649094707014441,1.6493778047940129,-3.3281248788243003,-1.6937499902159145,3.734327886279512
-13.149094707014441,1.596078403622723,-3.717489488671129,-1.7354321188813853,4.102615424230518
-12.649094707014441,1.413746793725798,0.09975586300707079,-0.9946166934732736,0.9996067264647892
-12.149094707014441,1.1705039837730402,0.09975586300707079,-0.9946166934732736,0.9996067264647892
-11.649094707014441,0.9590301224456756,0.10474365615742433,-0.9946166934732736,1.000116797263288
-11.149094707014441,0.8831549433898116,1.1485107840043154,-2.0131774786050904,2.3177490072453533
-10.649094707014441,0.8612665600599991,1.0421875379456274,-1.9695312386228416,2.228274681875307
-10.149094707014441,0.8566397786335231,0.8936188069503628,-2.0495918155529442,2.2359295829096073
-9.649094707014441,0.937972561136257,0.7161520265020471,-2.0944967625744297,2.2135470082188564
-9.149094707014441,1.0958777440514145,0.597003195564767,-2.2793014394701467,2.356189260905185
-8.649094707014441,1.308069767761707,0.4776025564518136,-2.6211966553906683,2.664352848098294
-8.149094707014441,1.2774298550279706,-2.8061034134558924,3.837841819044613,4.754287172123123
-7.6490947070144415,1.5028142135225881,-3.2796333644765747,3.597976705354325,4.868411627231704
-7.1490947070144415,1.4848769326824776,-3.4442555860919053,2.9490057117225414,4.534261975622126
-6.6490947070144415,1.2499961638191126,-0.8867331827677833,1.9306738726562978,2.1245699387195467
-6.1490947070144415,1.4396296609021089,-1.243969681270054,1.4943847742574348,1.9443884817833046
-5.6490947070144415,1.4684271320655873,-1.119572713143048,1.3449462968316923,1.7499496373758265
-5.1490947070144415,1.5171500726080298,-0.8996716178229404,1.2905386098587457,1.5731811798580058
-4.6490947070144415,1.655889853852219,-0.6817276441940857,1.239676245125751,1.4147614089410505
-4.1490947070144415,1.5428598290688362,-0.2195953449094321,1.5676818938214665,1.5829872493105257
-3.6490947070144415,1.3989831422624148,-0.4187499847534795,1.9734375113997218,2.0173763100913424
-3.1490947070144415,1.350173781158169,-0.5249999808849599,2.3562500136110716,2.4140296453414294
-2.6490947070144415,1.2146219528805287,-0.7423827854701387,2.435791029695546,2.5464112378688872
-2.1490947070144415,1.1757075435954554,-3.494592157919546,-0.4157714819732654,3.5192386668097417
-1.6490947070144415,1.2360306617152939,-3.6136717434276524,-0.5251953094661694,3.6516371836146906
-1.1490947070144415,1.1027598317027885,-3.653906116962742,-0.609374996479898,3.7043715181042636
-0.6490947070144415,0.9478816311576181,-3.832657593641562,-0.8174586966910158,3.918865081623084
-0.1490947070144415,0.9932188950654768,-0.9102294590464017,2.0852783323582793,2.2752809663643916
0.3509052929855585,1.1439743317829743,-0.8260253605497452,1.9138671985556088,2.0845156814130736
0.8509052929855585,1.0320460797204267,-0.5031249816814198,2.2789062631642882,2.333784163991718
1.3509052929855585,1.0184385797546376,1.617236387007929,1.1315673893490894,1.9738029350527098
1.8509052929855585,1.1800244734922132,1.1978290993986103,3.430479737071088,3.633591270919958
2.3509052929855585,1.0095457650633943,1.800000065537281,2.700000015596773,3.244996147242795
2.8509052929855585,1.020219885621109,0.34610670736909543,-2.6927694165128653,2.7149211766101975
3.3509052929855585,1.1031100563814429,-0.2090392990295873,-2.071357715085415,2.0818790288314726
3.8509052929855585,1.017411818382288,2.2744141453105065,2.1513671999275483,3.130709209166574
4.3509052929855585,1.1442481576290262,2.3214844595243176,2.3792968887442036,3.324205677681011
4.8509052929855585,1.0731878309347127,2.5572602249447556,2.5354382470680417,3.6011146235242246
5.3509052929855585,0.9967198561608652,2.4469666418274523,2.773272721098164,3.6984708882659985
5.8509052929855585,1.0258340536010933,2.3265625847092135,2.992187517284618,3.7902610980231155
6.3509052929855585,1.1651909172435595,2.2617493499275154,3.214788836929869,3.9306967555723404
6.8509052929855585,1.4068517946181773,2.129335410935177,3.434039633218042,4.040630780622469
7.3509052929855585,1.5122864645774596,2.1644379450172586,3.3982696729506987,4.029023205961984
7.8509052929855585,1.4555435759874138,1.8685186947219297,3.1911876147552647,3.6979778473144007
8.350905292985559,1.5289436479241172,1.5572832855525651,2.9484789424684914,3.334465326062448
8.850905292985559,1.697618323126257,1.2125000441466396,2.6843750155065136,2.9455093519319524
9.350905292985559,1.7075263543526844,1.2390234826123474,2.5333789208842727,2.8201396611265763
9.850905292985559,1.4779447475275524,1.6363935290332894,2.821484284308203,3.261680095433077
